wallet,volume
0xe6cb9643966e32c1df9f342e80140391682c8b06,89148.03202
0xb4ad0087ed229798aa002357000ba74b977fc655,87712.56346599999
0x56716ca7787bc771d0f6ec8fa9c845e5266cee21,87568.201297
0x1ce5bd004e7d5cf24d3d2d66acc8b67c54b5586c,85000.0
0x1541fe35a3e9f2a476c08b4d5022ffb5a25e43ba,84900.0
0x59391ce3e40b724033f2ab7293b4bd9674245011,84462.113418
0xf0656dfd802a147b9e1308ae92943d8129a04da3,83150.429009
0xd2cd50476903d501e4a2a8c85017e3490efd422f,83134.2096
0x3fc6758484e3abf68a4c3f2bf5afe14abad4e914,82558.0
0xa070b9b51c54206bc48568307aa5027ed8e4532b,81723.152785
0xb5e4b2c0b3f750f9e2a93b52974c5203aac3f7b4,81200.0
0x9f50f1f78c48919c960c553a53a197f4cce5f975,78081.51088
0xb47ef72090fc7fc83aee6f3cf7d2338dda57a7bb,77896.45
0xc7e098ab1a9845823ba02cf25c9fdf6b31c0eb99,75000.0
0x017087c3d5229c68bb99a12b9dd34568ae28fb70,75000.0
0x2b4596fcbbf10159693c3244632e2a0f9df91ae5,74982.59733
0x2997123dc2a661a980e636117c92209fa4d21c16,74262.09
0xc0d7f9d1e6da5a49dd6c40637fb13fb0ea20d5e1,71787.6
0x461dd07bcba33d1c27eec6dd83463b54515cad43,71355.783557
0x75c6337c931b05bfb6113973a8ba660b4b4e617f,71226.75000000001
0xefb8ef522f20f38c7fdfbdf0e43e486ed2ff781d,70205.002528
0x91fd6af964ea1db3ed3ef42f21ca3d67b178f101,70006.0
0xcccd42c92d2f358fdbf5005591997aed2e0a8e52,70000.0
0xe9fd057d24d0db37193e623759146e39c433e98e,70000.0
0x0f6d09c58a6028e2ec24961bc0eaf37f5cae1782,69846.6326
0xbf0935b6279f4cba9d1bce08a123953dacd89c4c,68861.9631
0x3712a17baf6b5dbeaf1e5402e69883f2b40d5080,66591.3
0xd02f40c42b1ea2d0bfc148b2f58a102a656ec9ed,66500.42
0x2a7760d9be294ff20756cad3e58556bea2ba8e33,65943.48
0xbf204982b6dd29aba2e87f8a40c70275ce9d79b8,65000.0
0x48e9abaae4ad9b6d095d74e5325edfaacc3ab34e,65000.0
0x1c3696db22ffcb7d89a0c9cbd8fb8db928102ec7,63649.499746999994
0x48c5f8ed7d84fcfcdc53557eab8f4f96bdc00847,63422.893583
0x36e3303bb455a75e195c2e79fd105f97bcf4c3ed,61739.04972
0xb8c9b48d1a628eab5ce9772caefa4ada1a66ebf8,60973.0
0x7e92005ac67b24acf80afa3637784dbf529ad59d,60000.0
0x967317c0b2c9c183072dab46b8db5dc8491d86b4,60000.0
0xf558ed18f11d3e1016821ece99474db2c4bf2de5,57292.673541
0x82f0e40bd7eb3415ff5ba664411ff1a1f15d4a9b,55933.032203
0xf825c49a929d09ccf47e705c12579ec37d267286,55093.250047
0x470187c5dc92133917d674200ed0b3a5853367d1,55000.0
0x282d0c5f6853714cd84d9a545115866b1212df9a,53821.950000000004
0xfc60582625c62a77f98ae73662f3408fe1134b28,51100.0
0x4d7cbbde753c6f44816763a0a0a58e8c64f814a2,50413.9885
0x67ad16f56ea8730820512ef2b09ccc59e10aad86,50167.0
0x1e2d6d5c6ca9d0297f07ed8ee4e9b0048a2eec2c,50122.962258
0x1b76d0c6d2a5d419228b44baed2690a440638cec,50100.0
0x8c0be9ac76acd159cc703d16ae26a79582699199,50005.0
0xb422c078b70337b8a14b83d4059f70fcbe4ba004,50000.0
0x83f8594d12851db7e48470af3400ef112b2a7ac8,50000.0
0x988f120568584bfa23d226553072379b2a1e2cf6,50000.0
0xf79b5ff0622c5b4fa0acad6aa12d72ffec79bd98,50000.0
0x46c9f8f76bfda410216b70fb0b09d55271c6ddf5,50000.0
0x2fd3ebfdba63d1b06332f087e599197e532b7b93,49985.0
0x23e6ad9ddd38be5535c5c14a8cdebbdd7d082006,49500.0
0xdb7946c2890b6325ac22987c705f20ec64212d9b,49139.970439
0x15a763e65aec236284f2e45463ccfc1f0b210725,49011.68
0x7c9b79836ba006e0a3b02446ccfbebbf3e2b6863,48730.0
0x022cffd17938b17759e95cf75f2c408c83adace7,48566.504035000005
0x73cb16b46a18dd9f13edd4c54a6e4e7614bac7ae,48409.8
0x08530d2abe7cf70db300eaeef9568a06ee7e116c,48018.4086
0x7d67105b9e453dd3554d617760daf1f0115b62b1,47241.103503
0xaeed0ef56edd6a81d62dd6b9f5dd45e2f2e553d3,45000.0
0xa8b009d600912f703b085d4d5fbdc3ee71ae73cb,44957.646611
0x99d530929d5ce807278172921283fdaebef195ea,44226.918251
0x93d40381a192b9a08dcba61a419d064209694a22,43942.708769
0x7e26dec1e8542f1c3f968a48484e24e1385efc64,42421.205453999995
0xa111d3ea1b5aeea0d7b00c54e492db1969b0db8c,41995.470642
0x71f083a554a27b508e9d31e137bd760d3a385035,41490.1
0xc6f2e3010da80fe8d31daa0ea7783cf476d85afb,40873.0
0x3f8bf7b1f5998bf6b04ba04278eb5def5f0ecd6a,40337.026
0x4c1d2950a4755e211b7f198b5acd583b033f5e15,40218.320002
0x624f35c561d47a5cab9e84f7d72d8d4c515fcdf2,40000.003457
0x5202478a4f9d451bb5855c64f0b12f4eb068ea30,40000.0
0xbd0ee12863f774696910c20ad1dcff4afaf7eba1,40000.0
0x005b6b4a99bb54a7a7f6ea85997f4b1e65bfc9e5,40000.0
0xd9676e27dd1409cd61ccd92c49be46953ac3a03f,39840.637449999995
0xb62636879d65fef0689b7681d2392ff16af369f3,39773.77732
0x384d4050a97105d23a9316d1d0b33b8ab8e2d779,39000.0
0x766672cc5ad387a860bb51f4c8eafeb77b0c2ac8,37495.709846
0xc37094542b0e8c3ce1f1599d3e4eb1d4146bbbd4,35820.65
0x517a0dc7fa1d60ff16fcc89684fd6cf18ae6fcd7,35500.0
0x9d4de005c376f831f95eddec1371e055bcc9ba0c,35320.035784
0x1f3ca206e5a3113ad1ef9af57c6effe7c77d2d19,35000.0
